Name,P1,P2,P3,연차,20연봉,FA유무
이정후,248.22047569171508,1673.8111281020147,590.0048799415028,3,10.571316925111784,0
김하성,506.7246602360551,3927.554065805809,1426.9370012318102,6,10.915088464214607,0
정은원,500.0064484252927,4070.166310997474,1478.9208766150757,2,9.392661928770137,0
이천웅,289.99510308721653,2164.704145023426,777.3869917661373,9,10.239959789157341,0
최정,365.1321152891947,2695.195859497518,975.2993379782957,15,11.695247021764184,1
전준우,206.85769174080602,1347.1779181014047,472.5663680534831,12,10.819778284410283,0
김현수,185.83094425305103,1185.8055819531749,413.02431903124784,14,11.77528972943772,1
박해민,301.2033396495512,2357.987442646957,852.9952965823508,8,10.308952660644293,0
김재환,180.3941137718335,1172.9493480837414,411.4737475118663,12,11.082142548877775,0
손아섭,213.86667689922047,1491.1594051509526,526.8797140831707,13,12.206072645530174,1
유한준,110.25920862633464,535.7524869801508,175.93466227084323,20,10.819778284410283,1
최형우,100.5132937992777,412.00191425336294,129.85480124382514,18,11.918390573078392,1
이대호,61.35031567055106,159.71044884659102,40.63326271281663,19,12.429216196844383,1
오지환,541.829972657066,4472.978643791649,1638.6187515134363,11,11.002099841204238,0
이명기,204.86935813167236,1472.639270729479,524.2994638701684,14,10.085809109330082,0
김상수,421.5444524340219,3392.86156646147,1230.8992263449668,11,10.126631103850338,1
박찬호,410.1468784057573,3385.703595292547,1241.6280100350762,6,9.259130536145614,0
허경민,326.6911546750909,2570.4669989433455,938.5647234348638,11,10.778956289890028,0
박건우,214.16244206986664,1441.268548696515,506.57819610249084,11,10.714417768752456,0
박병호,164.81481892071915,949.2637730644858,320.41045201845054,15,12.206072645530174,0
오재일,174.7698917267023,1093.1849007508526,374.60850751089777,15,10.757902880692196,0
박민우,407.7587834189679,3173.7448307305535,1145.689297833567,8,10.858998997563564,0
구자욱,181.65906642382726,1225.0701317328994,430.822732649349,8,10.239959789157341,0
김민혁,166.68403405545305,1198.6173405972625,427.4935026199265,6,9.104979856318357,0
채은성,184.56277037131082,1245.9301991939383,437.84478145414965,11,10.373491181781864,0
정수빈,266.6900627550487,2057.501410956101,742.7548636705785,11,10.4341158035983,0
고종욱,109.25468575292749,596.2668883011602,202.09845572787617,9,9.740968623038354,0
황재균,326.3991974255679,2510.587949797277,913.7964815306639,14,11.695247021764184,1
박세혁,612.2899647833106,5133.680009108007,1897.9356180763211,8,10.0519075576544,0
강백호,152.3573276492295,885.6810162748528,303.18507816904844,2,9.95227771670556,0
이재원,593.0416987957901,5001.142333556279,1850.3820358645432,14,11.77528972943772,1
한동민,159.47837799249348,1072.8382418434373,377.0637063404851,8,10.126631103850338,0
김태균,66.4187830865207,238.0295817951168,70.45446827053586,19,10.819778284410283,1
박경수,408.9639616046056,3362.5587525941364,1223.7586479307859,17,10.596634733096073,1
서건창,224.9622628356102,1638.3027446770636,585.8306809694064,12,10.46310334047155,0
송광민,278.4334163186784,2255.9203316638514,827.4043899264477,18,10.126631103850338,1
이형종,163.4779000567788,1089.2571094248483,383.577763377934,12,9.903487552536127,0
이성열,119.03752533014234,701.2855345521015,240.38590770645,17,10.819778284410283,0
김성현,529.3890614650197,4515.172639730667,1660.797345464844,14,9.95227771670556,0
김재호,487.4806951657674,4030.849974862127,1476.875396178897,16,11.082142548877775,1
이창진,270.76536314908157,2105.7602914629965,761.3111000484911,6,9.047821442478408,0
유강남,551.8001969259699,4642.684827487137,1717.4847100417326,9,10.043249494911286,0
김헌곤,166.56095862117994,1174.047807345804,417.3979793527976,9,9.852194258148577,0
김강민,247.4328183140242,1922.9339737383953,695.2101829210663,19,10.46310334047155,0
양의지,445.95481048474704,3490.53201474624,1278.7560784105185,14,12.206072645530174,1
이원석,220.3551082897153,1662.45965344741,603.9195904553962,15,10.308952660644293,1
오선진,463.88092422137464,3936.8234868918175,1447.272212925859,12,9.259130536145614,0
최재훈,582.7203769597664,4908.264392526623,1815.7037263327977,12,9.903487552536127,0
김선빈,443.10389715882786,3644.279260016322,1333.5120995037043,12,10.714417768752456,0
노수광,177.61475017915467,1334.202263513797,479.0389382091569,7,9.95227771670556,0
박석민,158.64085644871147,1067.6314951011495,381.25401942308196,16,11.156250521031495,1
이학주,447.5663884513371,3713.441891164161,1361.3211184162135,1,9.104979856318357,0
심우준,493.61350115218306,4145.508537398213,1521.7403398340625,6,9.472704636443673,0
정주현,389.05068860724003,3290.6601778864797,1202.100256600212,11,9.433483923290392,0
민병헌,219.97832734518826,1610.641217644226,577.2077792985272,14,11.736069016284437,1
정의윤,86.56707446317792,473.98272136411,160.79318091560273,15,10.308952660644293,1
임병욱,225.3480391932749,1826.8827292676497,664.4094762448489,6,9.082507000466299,0
권희동,144.13893693481032,1022.8216275586178,363.25133577669385,7,9.51044496442652,0
장성우,512.28984890186,4374.256884413294,1621.1801967920846,12,9.51044496442652,0
신본기,439.2213998511279,3737.85266832651,1374.4459830552537,8,9.433483923290392,0
장영석,181.11494395950658,1419.5051359814747,516.2603810390276,11,8.922658299524402,0
안치홍,322.1786867188221,2544.2606002165926,920.1904061894547,11,10.275051108968611,0
김민성,248.07923898837592,2002.7011584870495,734.2824941046401,13,10.596634733096073,1
김태진,179.00152643819646,1353.2235433409826,487.8991096706049,6,9.104979856318357,0
강민호,474.90424407634265,4024.135586335289,1490.2656925657382,16,11.736069016284437,1
오태곤,121.31061139760251,842.0441730350798,294.71680815277585,10,9.159047077588632,0
노진혁,337.79307095802125,2756.9157101949154,1009.6668818041524,8,9.546812608597396,0
김혜성,390.2484102645066,3240.038289820104,1184.6269204889481,3,9.210340371976184,0
모창민,99.59566208833688,569.0512849134695,191.91089838603065,12,10.308952660644293,1
김주찬,98.57049615566386,635.8116570361195,219.59732343345658,20,10.596634733096073,0
박동원,357.91476548705907,2934.011895837643,1081.8917306097587,11,10.021270588192511,0
장진혁,155.05608880736753,1193.1168584069198,430.381297034525,4,8.66561319653451,0
김성욱,194.74843499241555,1543.7722161987404,560.011222381823,8,9.392661928770137,0
이지영,342.4525887082728,2906.034488623312,1076.1537302479633,12,10.308952660644293,0
최주환,215.33467322289155,1715.5433901873437,621.93382752287,14,10.203592144986466,0
류지혁,270.1692621810148,2250.3806432505394,823.8634415217899,8,9.259130536145614,0
강로한,275.2144236210372,2305.8022312753865,845.4366368028311,5,8.575462099540212,0
정근우,122.66676686425018,919.7352795768637,329.68324882809134,15,10.46310334047155,1
한승택,387.98435414532474,3363.751731542233,1249.4833213649345,7,8.987196820661973,0
이원재,83.35721361639112,568.7636799987326,199.4777546506394,7,8.867850063029406,0
최영진,137.8437502497243,1078.0765412046385,391.3032537295045,9,8.987196820661973,0
이상호,146.16350624499307,1185.632310371599,430.8805488115396,10,9.210340371976184,0
최원준,124.24705475557874,1027.096012710606,376.8705319776119,4,8.85366542803745,0
김규민,81.47545636152934,602.7632933390064,216.52195679392764,8,8.594154232552366,0
나주환,189.9493371042787,1606.2836950645979,587.3929293380057,17,9.392661928770137,0
박승욱,150.48616000844245,1227.374795929894,445.94104868408715,8,8.987196820661973,0
오윤석,115.34344607600528,938.7440251934839,339.9022030414785,6,8.294049640102028,0
정훈,77.00858409125107,580.0898802287754,207.72458567733742,14,8.764053269347762,0
박용택,17.92763443556919,30.262635354114636,5.948139725837855,22,11.289781913656018,1
김동엽,27.06970264813248,146.77413499111083,50.54786397941823,4,9.51044496442652,0
조용호,73.46497404020855,513.5332886999234,182.5749415971746,6,8.85366542803745,0
김용의,74.26635719079056,556.7111795133674,197.77209597529745,12,9.259130536145614,0
한동희,101.69041745435068,840.4468128836284,309.2510755814436,2,8.45531778769815,0
오재원,191.2978038713256,1631.8194463708703,597.4980623325066,17,10.308952660644293,1
박계범,173.42878979965616,1414.122537016632,517.5903721953412,6,8.612503371220562,0
유민상,51.685839397515714,296.61538800831534,100.79349775855307,8,8.699514748210191,0
노시환,98.01070770753368,836.636106446281,307.41015772821163,1,8.101677747454572,0
채태인,51.8950424542313,357.33111361961653,125.42634130006542,13,9.210340371976184,1
윤석민,59.82803406249681,469.15806320522177,170.14227204059125,16,9.798127036878302,0
지석훈,138.32917427612784,1166.806874563891,429.72147268446207,17,9.433483923290392,1
이우성,45.02601999229729,320.30495435096583,115.05579798418057,7,8.294049640102028,0
허일,39.343912128675065,269.39175152750084,96.03804342359729,9,8.318742252692399,0
김찬형,175.47270878283663,1474.8418049741024,542.1771302107956,4,8.66561319653451,0
나지완,19.240372607477727,94.65605685686543,32.5524112471075,12,11.002099841204238,1
최항,118.45793890952804,986.8894993514914,360.3177047210729,8,8.922658299524402,0
